Mois,Consommation,DJU
2015-01-01,5079.06825,476.9
2015-02-01,5278.5515,442.7
2015-03-01,5461.805,371.8
2015-04-01,4845.05025,223.9
2015-05-01,4456.14675,86.6
2015-06-01,4561.3655,15.199999999999998
2015-07-01,4819.75,0.0
2015-08-01,4535.6245,3.1999999999999993
2015-09-01,4512.87125,65.6
2015-10-01,5083.2845,229.9
2015-11-01,5166.37275,296.8
2015-12-01,5356.56225,426.1
2016-01-01,5908.88775,536.8
2016-02-01,5427.89225,354.3
2016-03-01,5616.4765,366.8
2016-04-01,4939.28325,219.1
2016-05-01,4806.53275,101.4
2016-06-01,4792.14875,3.1999999999999993
2016-07-01,4822.0125,5.0000000000000036
2016-08-01,4765.14175,8.299999999999999
2016-09-01,4883.2115,26.8
2016-10-01,5284.77525,244.0
2016-11-01,5658.9035,379.9
2016-12-01,5871.66825,519.4
2017-01-01,6343.693,673.5
2017-02-01,5462.07925,431.1
2017-03-01,5531.318,295.8
2017-04-01,4957.81075,248.8
2017-05-01,4895.78975,80.9
2017-06-01,4777.9625,3.400000000000002
2017-07-01,4888.22525,4.0
2017-08-01,4853.1905,0.5
2017-09-01,4986.54725,95.5
2017-10-01,5228.423,184.2
2017-11-01,5717.9505,369.5
2017-12-01,5911.46275,482.2
2018-01-01,5960.764,446.8
2018-02-01,5625.51025,535.8
2018-03-01,5981.08875,464.5
2018-04-01,4845.51325,103.3
2018-05-01,4851.18125,24.1
2018-06-01,4878.50675,9.1
2018-07-01,4786.04925,2.3999999999999986
2018-08-01,5003.411,5.1999999999999975
2018-09-01,4945.2615,49.8
2018-10-01,5317.70975,145.3
2018-11-01,5582.006,345.5
2018-12-01,5871.3445,484.8
2019-01-01,6216.5985,544.9
2019-02-01,5414.04475,388.9
2019-03-01,5587.7095,304.8
2019-04-01,4878.26075,190.3
2019-05-01,5109.95675,171.6
2019-06-01,4742.007,0.0
2019-07-01,4966.28825,1.0
2019-08-01,4845.92975,0.0
2019-09-01,4844.1915,50.699999999999996
2019-10-01,5254.2875,190.29999999999998
2019-11-01,5460.8855,314.0
2019-12-01,5765.0745,467.7
2020-01-01,5981.478,533.3
2020-02-01,5448.90625,350.2
2020-03-01,5317.2505,350.0
2020-04-01,4345.4765,180.0
2020-05-01,4535.763,126.0
2020-06-01,4507.3315,23.299999999999997
2020-07-01,4796.80625,6.400000000000002
2020-08-01,4747.47975,2.400000000000002
2020-09-01,4855.076,57.900000000000006
2020-10-01,5333.86175,214.3
2020-11-01,5460.95375,366.5
2020-12-01,5727.62875,471.4
2021-01-01,5803.58475,525.2
2021-02-01,5206.24175,434.2
2021-03-01,5602.61475,399.3
2021-04-01,5042.687,287.5
2021-05-01,4912.3195,153.5
2021-06-01,4855.7785,6.0
2021-07-01,5012.1765,0.6000000000000014
2021-08-01,5018.6395,23.099999999999998
2021-09-01,4878.29175,46.0
2021-10-01,5270.19175,233.5
2021-11-01,5383.562,381.6
2021-12-01,5951.0825,480.7
2022-01-01,5742.111,480.8
2022-02-01,5377.396,362.0
2022-03-01,5648.89,391.8
2022-04-01,5176.2485,265.0
2022-05-01,4857.54,43.7
2022-06-01,4690.25125,2.0
2022-07-01,4785.231,2.8999999999999986
2022-08-01,4709.64825,2.0
2022-09-01,4770.33825,99.2
2022-10-01,4865.0365,159.2
2022-11-01,5238.58225,343.7
2022-12-01,5643.63525,506.3
2023-01-01,5662.08,455.5
2023-02-01,5121.687,398.3
2023-03-01,5260.90025,328.4
2023-04-01,4698.362,284.9
2023-05-01,4499.4455,117.7
2023-06-01,4201.28325,12.399999999999997
2023-07-01,4414.70325,0.5
2023-08-01,4477.4965,11.900000000000004
2023-09-01,4420.24825,7.100000000000003
2023-10-01,4750.4685,116.7
2023-11-01,5202.71425,343.1
2023-12-01,5506.4385,444.9
2024-01-01,5800.13025,515.4
2024-02-01,5037.79525,287.5
2024-03-01,4899.44275,280.0
2024-04-01,4523.7485,170.7
2024-05-01,4370.051,50.599999999999994
2024-06-01,4407.25925,14.200000000000001
2024-07-01,4577.8115,0.5
2024-08-01,4520.20575,0.0
2024-09-01,4607.52125,84.3
2024-10-01,4998.68075,191.8
2024-11-01,5379.22825,399.8
2024-12-01,5516.56575,479.0
