Mois,Consommation
2015-01-01,5079.06825
2015-02-01,5278.5515
2015-03-01,5461.805
2015-04-01,4845.05025
2015-05-01,4456.14675
2015-06-01,4561.3655
2015-07-01,4819.75
2015-08-01,4535.6245
2015-09-01,4512.87125
2015-10-01,5083.2845
2015-11-01,5166.37275
2015-12-01,5356.56225
2016-01-01,5908.88775
2016-02-01,5427.89225
2016-03-01,5616.4765
2016-04-01,4939.28325
2016-05-01,4806.53275
2016-06-01,4792.14875
2016-07-01,4822.0125
2016-08-01,4765.14175
2016-09-01,4883.2115
2016-10-01,5284.77525
2016-11-01,5658.9035
2016-12-01,5871.66825
2017-01-01,6343.693
2017-02-01,5462.07925
2017-03-01,5531.318
2017-04-01,4957.81075
2017-05-01,4895.78975
2017-06-01,4777.9625
2017-07-01,4888.22525
2017-08-01,4853.1905
2017-09-01,4986.54725
2017-10-01,5228.423
2017-11-01,5717.9505
2017-12-01,5911.46275
2018-01-01,5960.764
2018-02-01,5625.51025
2018-03-01,5981.08875
2018-04-01,4845.51325
2018-05-01,4851.18125
2018-06-01,4878.50675
2018-07-01,4786.04925
2018-08-01,5003.411
2018-09-01,4945.2615
2018-10-01,5317.70975
2018-11-01,5582.006
2018-12-01,5871.3445
2019-01-01,6216.5985
2019-02-01,5414.04475
2019-03-01,5587.7095
2019-04-01,4878.26075
2019-05-01,5109.95675
2019-06-01,4742.007
2019-07-01,4966.28825
2019-08-01,4845.92975
2019-09-01,4844.1915
2019-10-01,5254.2875
2019-11-01,5460.8855
2019-12-01,5765.0745
2020-01-01,5981.478
2020-02-01,5448.90625
2020-03-01,5317.2505
2020-04-01,4345.4765
2020-05-01,4535.763
2020-06-01,4507.3315
2020-07-01,4796.80625
2020-08-01,4747.47975
2020-09-01,4855.076
2020-10-01,5333.86175
2020-11-01,5460.95375
2020-12-01,5727.62875
2021-01-01,5803.58475
2021-02-01,5206.24175
2021-03-01,5602.61475
2021-04-01,5042.687
2021-05-01,4912.3195
2021-06-01,4855.7785
2021-07-01,5012.1765
2021-08-01,5018.6395
2021-09-01,4878.29175
2021-10-01,5270.19175
2021-11-01,5383.562
2021-12-01,5951.0825
2022-01-01,5742.111
2022-02-01,5377.396
2022-03-01,5648.89
2022-04-01,5176.2485
2022-05-01,4857.54
2022-06-01,4690.25125
2022-07-01,4785.231
2022-08-01,4709.64825
2022-09-01,4770.33825
2022-10-01,4865.0365
2022-11-01,5238.58225
2022-12-01,5643.63525
2023-01-01,5662.08
2023-02-01,5121.687
2023-03-01,5260.90025
2023-04-01,4698.362
2023-05-01,4499.4455
2023-06-01,4201.28325
2023-07-01,4414.70325
2023-08-01,4477.4965
2023-09-01,4420.24825
2023-10-01,4750.4685
2023-11-01,5202.71425
2023-12-01,5506.4385
2024-01-01,5800.13025
2024-02-01,5037.79525
2024-03-01,4899.44275
2024-04-01,4523.7485
2024-05-01,4370.051
2024-06-01,4407.25925
2024-07-01,4577.8115
2024-08-01,4520.20575
2024-09-01,4607.52125
2024-10-01,4998.68075
2024-11-01,5379.22825
2024-12-01,5516.56575
