Mois,DJU
2015-01-01,476.9
2015-02-01,442.7
2015-03-01,371.8
2015-04-01,223.9
2015-05-01,86.6
2015-06-01,15.199999999999998
2015-07-01,0.0
2015-08-01,3.1999999999999993
2015-09-01,65.6
2015-10-01,229.9
2015-11-01,296.8
2015-12-01,426.1
2016-01-01,536.8
2016-02-01,354.3
2016-03-01,366.8
2016-04-01,219.1
2016-05-01,101.4
2016-06-01,3.1999999999999993
2016-07-01,5.0000000000000036
2016-08-01,8.299999999999999
2016-09-01,26.8
2016-10-01,244.0
2016-11-01,379.9
2016-12-01,519.4
2017-01-01,673.5
2017-02-01,431.1
2017-03-01,295.8
2017-04-01,248.8
2017-05-01,80.9
2017-06-01,3.400000000000002
2017-07-01,4.0
2017-08-01,0.5
2017-09-01,95.5
2017-10-01,184.2
2017-11-01,369.5
2017-12-01,482.2
2018-01-01,446.8
2018-02-01,535.8
2018-03-01,464.5
2018-04-01,103.3
2018-05-01,24.1
2018-06-01,9.1
2018-07-01,2.3999999999999986
2018-08-01,5.1999999999999975
2018-09-01,49.8
2018-10-01,145.3
2018-11-01,345.5
2018-12-01,484.8
2019-01-01,544.9
2019-02-01,388.9
2019-03-01,304.8
2019-04-01,190.3
2019-05-01,171.6
2019-06-01,0.0
2019-07-01,1.0
2019-08-01,0.0
2019-09-01,50.699999999999996
2019-10-01,190.29999999999998
2019-11-01,314.0
2019-12-01,467.7
2020-01-01,533.3
2020-02-01,350.2
2020-03-01,350.0
2020-04-01,180.0
2020-05-01,126.0
2020-06-01,23.299999999999997
2020-07-01,6.400000000000002
2020-08-01,2.400000000000002
2020-09-01,57.900000000000006
2020-10-01,214.3
2020-11-01,366.5
2020-12-01,471.4
2021-01-01,525.2
2021-02-01,434.2
2021-03-01,399.3
2021-04-01,287.5
2021-05-01,153.5
2021-06-01,6.0
2021-07-01,0.6000000000000014
2021-08-01,23.099999999999998
2021-09-01,46.0
2021-10-01,233.5
2021-11-01,381.6
2021-12-01,480.7
2022-01-01,480.8
2022-02-01,362.0
2022-03-01,391.8
2022-04-01,265.0
2022-05-01,43.7
2022-06-01,2.0
2022-07-01,2.8999999999999986
2022-08-01,2.0
2022-09-01,99.2
2022-10-01,159.2
2022-11-01,343.7
2022-12-01,506.3
2023-01-01,455.5
2023-02-01,398.3
2023-03-01,328.4
2023-04-01,284.9
2023-05-01,117.7
2023-06-01,12.399999999999997
2023-07-01,0.5
2023-08-01,11.900000000000004
2023-09-01,7.100000000000003
2023-10-01,116.7
2023-11-01,343.1
2023-12-01,444.9
2024-01-01,515.4
2024-02-01,287.5
2024-03-01,280.0
2024-04-01,170.7
2024-05-01,50.599999999999994
2024-06-01,14.200000000000001
2024-07-01,0.5
2024-08-01,0.0
2024-09-01,84.3
2024-10-01,191.8
2024-11-01,399.8
2024-12-01,479.0
