Mois,Consommation,DJU
2009-01-01,54730.0,468.0
2009-02-01,46530.0,363.7
2009-03-01,44401.0,315.4
2009-04-01,37449.0,191.2
2009-05-01,34516.0,102.6
2009-06-01,33904.0,49.3
2009-07-01,35274.0,14.3
2009-08-01,32933.0,14.1
2009-09-01,34541.0,53.8
2009-10-01,39627.0,162.0
2009-11-01,41939.0,231.8
2009-12-01,50844.0,406.0
2010-01-01,56342.0,491.4
2010-02-01,48698.0,382.9
2010-03-01,48294.0,324.0
2010-04-01,38637.0,213.8
2010-05-01,37284.0,164.0
2010-06-01,34567.0,44.9
2010-07-01,36031.0,9.1
2010-08-01,33069.0,27.5
2010-09-01,35104.0,79.4
2010-10-01,40918.0,180.9
2010-11-01,46532.0,306.6
2010-12-01,57600.0,489.4
2011-01-01,53873.0,400.0
2011-02-01,45937.0,319.0
2011-03-01,45543.0,291.8
2011-04-01,35442.0,135.2
2011-05-01,35107.0,89.4
2011-06-01,33771.0,52.4
2011-07-01,34204.0,40.5
2011-08-01,32625.0,24.8
2011-09-01,34230.0,39.2
2011-10-01,37977.0,145.8
2011-11-01,41837.0,232.9
2011-12-01,48241.0,330.5
2012-01-01,51086.0,369.3
2012-02-01,54476.0,454.9
2012-03-01,43156.0,258.0
2012-04-01,40176.0,243.4
2012-05-01,35257.0,110.5
2012-06-01,33219.0,50.3
2012-07-01,34141.0,29.6
2012-08-01,32247.0,10.9
2012-09-01,33269.0,77.2
2012-10-01,38628.0,156.2
2012-11-01,44260.0,281.6
2012-12-01,49602.0,360.1
2013-01-01,53619.0,417.2
2013-02-01,49639.0,403.9
2013-03-01,49480.0,361.8
2013-04-01,40292.0,235.4
2013-05-01,36821.0,179.5
2013-06-01,32973.0,65.2
2013-07-01,34751.0,8.5
2013-08-01,31591.0,17.3
2013-09-01,33195.0,57.0
2013-10-01,37063.0,109.7
2013-11-01,45310.0,299.0
2013-12-01,50108.0,361.7
2014-01-01,49360.0,337.4
2014-02-01,44580.0,300.8
2014-03-01,43104.0,280.3
2014-04-01,36331.0,172.0
2014-05-01,34695.0,128.8
2014-06-01,32609.0,37.8
2014-07-01,33936.0,12.5
2014-08-01,31004.0,35.8
2014-09-01,33267.0,39.4
2014-10-01,36301.0,97.6
2014-11-01,40617.0,222.7
2014-12-01,49351.0,366.1
2015-01-01,52537.0,394.4
2015-02-01,48676.0,372.5
2015-03-01,45740.0,298.4
2015-04-01,36899.0,191.5
2015-05-01,33928.0,119.4
2015-06-01,33257.0,37.2
2015-07-01,34913.0,18.6
2015-08-01,31603.0,15.7
2015-09-01,33522.0,89.2
2015-10-01,39171.0,178.4
2015-11-01,41085.0,214.9
2015-12-01,44727.0,275.5
2016-01-01,50161.0,359.7
2016-02-01,46440.0,320.4
2016-03-01,47270.0,328.7
2016-04-01,39102.0,223.0
2016-05-01,34747.0,113.9
2016-06-01,32852.0,39.2
2016-07-01,33719.0,16.1
2016-08-01,32133.0,13.5
2016-09-01,33246.0,30.5
2016-10-01,38591.0,177.2
2016-11-01,44294.0,282.6
2016-12-01,50671.0,383.8
2017-01-01,57407.0,463.0
2017-02-01,43870.0,287.8
2017-03-01,42724.0,242.2
2017-04-01,36651.0,229.1
2017-05-01,35038.0,96.2
2017-06-01,33374.0,22.4
2017-07-01,33878.0,13.4
2017-08-01,32111.0,22.4
2017-09-01,33634.0,82.5
2017-10-01,36616.0,184.3
2017-11-01,44960.0,301.0
2017-12-01,51755.0,383.2
2018-01-01,48723.0,314.1
2018-02-01,50202.0,409.0
2018-03-01,48493.0,333.0
2018-04-01,36276.0,155.3
2018-05-01,33994.0,90.8
2018-06-01,32615.0,26.0
2018-07-01,34602.0,1.7
2018-08-01,32452.0,14.0
2018-09-01,32683.0,50.9
2018-10-01,37103.0,143.3
2018-11-01,43738.0,273.5
2018-12-01,47554.0,326.0
2019-01-01,54117.0,416.3
2019-02-01,44311.0,293.1
2019-03-01,43146.0,266.0
2019-04-01,37928.0,213.2
2019-05-01,35612.0,157.8
2019-06-01,32598.0,38.3
2019-07-01,34629.0,12.0
2019-08-01,31564.0,14.0
2019-09-01,32214.0,52.0
2019-10-01,36367.0,120.9
2019-11-01,43946.0,294.9
2019-12-01,46975.0,323.2
