Mois,DJU
2009-01-01,468.0
2009-02-01,363.7
2009-03-01,315.4
2009-04-01,191.2
2009-05-01,102.6
2009-06-01,49.3
2009-07-01,14.3
2009-08-01,14.1
2009-09-01,53.8
2009-10-01,162.0
2009-11-01,231.8
2009-12-01,406.0
2010-01-01,491.4
2010-02-01,382.9
2010-03-01,324.0
2010-04-01,213.8
2010-05-01,164.0
2010-06-01,44.9
2010-07-01,9.1
2010-08-01,27.5
2010-09-01,79.4
2010-10-01,180.9
2010-11-01,306.6
2010-12-01,489.4
2011-01-01,400.0
2011-02-01,319.0
2011-03-01,291.8
2011-04-01,135.2
2011-05-01,89.4
2011-06-01,52.4
2011-07-01,40.5
2011-08-01,24.8
2011-09-01,39.2
2011-10-01,145.8
2011-11-01,232.9
2011-12-01,330.5
2012-01-01,369.3
2012-02-01,454.9
2012-03-01,258.0
2012-04-01,243.4
2012-05-01,110.5
2012-06-01,50.3
2012-07-01,29.6
2012-08-01,10.9
2012-09-01,77.2
2012-10-01,156.2
2012-11-01,281.6
2012-12-01,360.1
2013-01-01,417.2
2013-02-01,403.9
2013-03-01,361.8
2013-04-01,235.4
2013-05-01,179.5
2013-06-01,65.2
2013-07-01,8.5
2013-08-01,17.3
2013-09-01,57.0
2013-10-01,109.7
2013-11-01,299.0
2013-12-01,361.7
2014-01-01,337.4
2014-02-01,300.8
2014-03-01,280.3
2014-04-01,172.0
2014-05-01,128.8
2014-06-01,37.8
2014-07-01,12.5
2014-08-01,35.8
2014-09-01,39.4
2014-10-01,97.6
2014-11-01,222.7
2014-12-01,366.1
2015-01-01,394.4
2015-02-01,372.5
2015-03-01,298.4
2015-04-01,191.5
2015-05-01,119.4
2015-06-01,37.2
2015-07-01,18.6
2015-08-01,15.7
2015-09-01,89.2
2015-10-01,178.4
2015-11-01,214.9
2015-12-01,275.5
2016-01-01,359.7
2016-02-01,320.4
2016-03-01,328.7
2016-04-01,223.0
2016-05-01,113.9
2016-06-01,39.2
2016-07-01,16.1
2016-08-01,13.5
2016-09-01,30.5
2016-10-01,177.2
2016-11-01,282.6
2016-12-01,383.8
2017-01-01,463.0
2017-02-01,287.8
2017-03-01,242.2
2017-04-01,229.1
2017-05-01,96.2
2017-06-01,22.4
2017-07-01,13.4
2017-08-01,22.4
2017-09-01,82.5
2017-10-01,184.3
2017-11-01,301.0
2017-12-01,383.2
2018-01-01,314.1
2018-02-01,409.0
2018-03-01,333.0
2018-04-01,155.3
2018-05-01,90.8
2018-06-01,26.0
2018-07-01,1.7
2018-08-01,14.0
2018-09-01,50.9
2018-10-01,143.3
2018-11-01,273.5
2018-12-01,326.0
2019-01-01,416.3
2019-02-01,293.1
2019-03-01,266.0
2019-04-01,213.2
2019-05-01,157.8
2019-06-01,38.3
2019-07-01,12.0
2019-08-01,14.0
2019-09-01,52.0
2019-10-01,120.9
2019-11-01,294.9
2019-12-01,323.2
2020-01-01,349.2
2020-02-01,269.4
2020-03-01,290.1
2020-04-01,155.8
2020-05-01,96.0
2020-06-01,45.5
2020-07-01,19.3
2020-08-01,10.4
2020-09-01,48.7
