Mois,Consommation,DJU
2015-01-01,8265.653,610.1
2015-02-01,7177.584,515.2
2015-03-01,7496.539,522.8
2015-04-01,6603.495,403.0
2015-05-01,6150.278,281.2
2015-06-01,5798.999,147.2
2015-07-01,5941.047,68.6
2015-08-01,5992.718,31.499999999999993
2015-09-01,6127.118,141.7
2015-10-01,9853.284,376.8
2015-11-01,7189.188,403.7
2015-12-01,7556.961,475.40000000000003
2016-01-01,9096.516,834.5
2016-02-01,7519.183,544.8
2016-03-01,7802.77,571.8
2016-04-01,6623.245,414.3
2016-05-01,6047.914,160.70000000000002
2016-06-01,5676.654,90.7
2016-07-01,5931.268,28.999999999999996
2016-08-01,6165.382,59.8
2016-09-01,6293.647,149.1
2016-10-01,7191.111,397.1
2016-11-01,7782.995,546.8
2016-12-01,7971.495,571.1
2017-01-01,8395.788,663.4
2017-02-01,7667.236,621.2
2017-03-01,7924.284,568.1
2017-04-01,6835.505,484.7
2017-05-01,6332.311,285.2
2017-06-01,5718.929,145.9
2017-07-01,5868.651,82.8
2017-08-01,6131.588,77.5
2017-09-01,6287.203,197.6
2017-10-01,7078.493,411.4
2017-11-01,7323.624,465.8
2017-12-01,7781.636,550.8
2018-01-01,8480.925,636.2
2018-02-01,8178.96,748.0
2018-03-01,8571.512,732.7
2018-04-01,6873.737,422.6
2018-05-01,6133.455,134.7
2018-06-01,5781.981,90.4
2018-07-01,6073.601,21.6
2018-08-01,6311.975,47.8
2018-09-01,6332.548,152.1
2018-10-01,7248.148,348.9
2018-11-01,7519.62,457.3
2018-12-01,8260.738,619.0
2019-01-01,9122.937,748.8
2019-02-01,7668.496,527.2
2019-03-01,8076.378,591.6
2019-04-01,6603.145,373.9
2019-05-01,6245.892,253.6
2019-06-01,5564.812,44.0
2019-07-01,5860.18,70.9
2019-08-01,6053.319,58.3
2019-09-01,9012.945,211.1
2019-10-01,7079.309,409.8
2019-11-01,7399.985,485.9
2019-12-01,7507.47,522.6
2020-01-01,7622.296,510.9
2020-02-01,6999.974,514.6
2020-03-01,7590.353,519.4
2020-04-01,6572.926,422.2
2020-05-01,5981.45,282.6
2020-06-01,5350.526,50.5
2020-07-01,5592.284,76.30000000000001
2020-08-01,5748.933,61.5
2020-09-01,5897.297,153.2
2020-10-01,6611.282,301.7
2020-11-01,6952.89,408.6
2020-12-01,7544.127,533.8
2021-01-01,8412.663,702.1
2021-02-01,8090.675,718.5
2021-03-01,7899.368,601.8
2021-04-01,6721.938,430.3
2021-05-01,6352.763,255.4
2021-06-01,5714.662,23.699999999999996
2021-07-01,5927.988,8.6
2021-08-01,6074.142,86.2
2021-09-01,6248.011,246.7
2021-10-01,6868.098,317.0
2021-11-01,7532.777,496.3
2021-12-01,8864.137,747.3
2022-01-01,8252.129,664.7
2022-02-01,7182.342,566.4
2022-03-01,7338.726,582.5
2022-04-01,6565.857,480.6
2022-05-01,6068.191,280.3
2022-06-01,5636.094,73.5
2022-07-01,5681.004,38.3
2022-08-01,5906.459,29.699999999999996
2022-09-01,5788.427,266.4
2022-10-01,6359.803,322.5
2022-11-01,6861.331,462.1
2022-12-01,7577.7,668.6
2023-01-01,7615.357,627.7
2023-02-01,6813.359,584.0
2023-03-01,7552.819,637.6
2023-04-01,6318.415,401.7
2023-05-01,5846.297,227.5
2023-06-01,5422.3835,72.5
2023-07-01,5575.52475,43.400000000000006
2023-08-01,5759.663,44.7
2023-09-01,5645.936,93.9
2023-10-01,6936.91975,418.3
2023-11-01,7595.7345,545.0
2023-12-01,8333.52735,706.7
2024-01-01,9245.0120825,808.6
2024-02-01,7950.410347489999,639.6
2024-03-01,7220.34699033,578.9
2024-04-01,6616.29329,449.9
2024-05-01,5983.990085,159.0
2024-06-01,5451.7171975,56.900000000000006
2024-07-01,5746.9119625,15.999999999999998
2024-08-01,6008.169005,27.8
2024-09-01,5711.254025,106.39999999999999
2024-10-01,6439.64501,314.3
2024-11-01,6740.3097675,460.7
2024-12-01,8007.0028925,568.3
