Mois,Consommation
2015-01-01,8265.653
2015-02-01,7177.584
2015-03-01,7496.539
2015-04-01,6603.495
2015-05-01,6150.278
2015-06-01,5798.999
2015-07-01,5941.047
2015-08-01,5992.718
2015-09-01,6127.118
2015-10-01,9853.284
2015-11-01,7189.188
2015-12-01,7556.961
2016-01-01,9096.516
2016-02-01,7519.183
2016-03-01,7802.77
2016-04-01,6623.245
2016-05-01,6047.914
2016-06-01,5676.654
2016-07-01,5931.268
2016-08-01,6165.382
2016-09-01,6293.647
2016-10-01,7191.111
2016-11-01,7782.995
2016-12-01,7971.495
2017-01-01,8395.788
2017-02-01,7667.236
2017-03-01,7924.284
2017-04-01,6835.505
2017-05-01,6332.311
2017-06-01,5718.929
2017-07-01,5868.651
2017-08-01,6131.588
2017-09-01,6287.203
2017-10-01,7078.493
2017-11-01,7323.624
2017-12-01,7781.636
2018-01-01,8480.925
2018-02-01,8178.96
2018-03-01,8571.512
2018-04-01,6873.737
2018-05-01,6133.455
2018-06-01,5781.981
2018-07-01,6073.601
2018-08-01,6311.975
2018-09-01,6332.548
2018-10-01,7248.148
2018-11-01,7519.62
2018-12-01,8260.738
2019-01-01,9122.937
2019-02-01,7668.496
2019-03-01,8076.378
2019-04-01,6603.145
2019-05-01,6245.892
2019-06-01,5564.812
2019-07-01,5860.18
2019-08-01,6053.319
2019-09-01,9012.945
2019-10-01,7079.309
2019-11-01,7399.985
2019-12-01,7507.47
2020-01-01,7622.296
2020-02-01,6999.974
2020-03-01,7590.353
2020-04-01,6572.926
2020-05-01,5981.45
2020-06-01,5350.526
2020-07-01,5592.284
2020-08-01,5748.933
2020-09-01,5897.297
2020-10-01,6611.282
2020-11-01,6952.89
2020-12-01,7544.127
2021-01-01,8412.663
2021-02-01,8090.675
2021-03-01,7899.368
2021-04-01,6721.938
2021-05-01,6352.763
2021-06-01,5714.662
2021-07-01,5927.988
2021-08-01,6074.142
2021-09-01,6248.011
2021-10-01,6868.098
2021-11-01,7532.777
2021-12-01,8864.137
2022-01-01,8252.129
2022-02-01,7182.342
2022-03-01,7338.726
2022-04-01,6565.857
2022-05-01,6068.191
2022-06-01,5636.094
2022-07-01,5681.004
2022-08-01,5906.459
2022-09-01,5788.427
2022-10-01,6359.803
2022-11-01,6861.331
2022-12-01,7577.7
2023-01-01,7615.357
2023-02-01,6813.359
2023-03-01,7552.819
2023-04-01,6318.415
2023-05-01,5846.297
2023-06-01,5422.3835
2023-07-01,5575.52475
2023-08-01,5759.663
2023-09-01,5645.936
2023-10-01,6936.91975
2023-11-01,7595.7345
2023-12-01,8333.52735
2024-01-01,9245.0120825
2024-02-01,7950.410347489999
2024-03-01,7220.34699033
2024-04-01,6616.29329
2024-05-01,5983.990085
2024-06-01,5451.7171975
2024-07-01,5746.9119625
2024-08-01,6008.169005
2024-09-01,5711.254025
2024-10-01,6439.64501
2024-11-01,6740.3097675
2024-12-01,8007.0028925
