Mois,DJU
2015-01-01,610.1
2015-02-01,515.2
2015-03-01,522.8
2015-04-01,403.0
2015-05-01,281.2
2015-06-01,147.2
2015-07-01,68.6
2015-08-01,31.499999999999993
2015-09-01,141.7
2015-10-01,376.8
2015-11-01,403.7
2015-12-01,475.40000000000003
2016-01-01,834.5
2016-02-01,544.8
2016-03-01,571.8
2016-04-01,414.3
2016-05-01,160.70000000000002
2016-06-01,90.7
2016-07-01,28.999999999999996
2016-08-01,59.8
2016-09-01,149.1
2016-10-01,397.1
2016-11-01,546.8
2016-12-01,571.1
2017-01-01,663.4
2017-02-01,621.2
2017-03-01,568.1
2017-04-01,484.7
2017-05-01,285.2
2017-06-01,145.9
2017-07-01,82.8
2017-08-01,77.5
2017-09-01,197.6
2017-10-01,411.4
2017-11-01,465.8
2017-12-01,550.8
2018-01-01,636.2
2018-02-01,748.0
2018-03-01,732.7
2018-04-01,422.6
2018-05-01,134.7
2018-06-01,90.4
2018-07-01,21.6
2018-08-01,47.8
2018-09-01,152.1
2018-10-01,348.9
2018-11-01,457.3
2018-12-01,619.0
2019-01-01,748.8
2019-02-01,527.2
2019-03-01,591.6
2019-04-01,373.9
2019-05-01,253.6
2019-06-01,44.0
2019-07-01,70.9
2019-08-01,58.3
2019-09-01,211.1
2019-10-01,409.8
2019-11-01,485.9
2019-12-01,522.6
2020-01-01,510.9
2020-02-01,514.6
2020-03-01,519.4
2020-04-01,422.2
2020-05-01,282.6
2020-06-01,50.5
2020-07-01,76.30000000000001
2020-08-01,61.5
2020-09-01,153.2
2020-10-01,301.7
2020-11-01,408.6
2020-12-01,533.8
2021-01-01,702.1
2021-02-01,718.5
2021-03-01,601.8
2021-04-01,430.3
2021-05-01,255.4
2021-06-01,23.699999999999996
2021-07-01,8.6
2021-08-01,86.2
2021-09-01,246.7
2021-10-01,317.0
2021-11-01,496.3
2021-12-01,747.3
2022-01-01,664.7
2022-02-01,566.4
2022-03-01,582.5
2022-04-01,480.6
2022-05-01,280.3
2022-06-01,73.5
2022-07-01,38.3
2022-08-01,29.699999999999996
2022-09-01,266.4
2022-10-01,322.5
2022-11-01,462.1
2022-12-01,668.6
2023-01-01,627.7
2023-02-01,584.0
2023-03-01,637.6
2023-04-01,401.7
2023-05-01,227.5
2023-06-01,72.5
2023-07-01,43.400000000000006
2023-08-01,44.7
2023-09-01,93.9
2023-10-01,418.3
2023-11-01,545.0
2023-12-01,706.7
2024-01-01,808.6
2024-02-01,639.6
2024-03-01,578.9
2024-04-01,449.9
2024-05-01,159.0
2024-06-01,56.900000000000006
2024-07-01,15.999999999999998
2024-08-01,27.8
2024-09-01,106.39999999999999
2024-10-01,314.3
2024-11-01,460.7
2024-12-01,568.3
