Mois,Consommation
2019-01-01,46452.3865
2019-02-01,41345.7635
2019-03-01,43698.8075
2019-04-01,39486.47225
2019-05-01,40623.32225
2019-06-01,38124.73125
2019-07-01,40926.76475
2019-08-01,39544.05625
2019-09-01,39409.32975
2019-10-01,42325.33725
2019-11-01,43015.48975
2019-12-01,42415.34525
2020-01-01,45333.45175
2020-02-01,43123.26075
2020-03-01,42895.55725
2020-04-01,36503.8885
2020-05-01,37087.714
2020-06-01,36461.54
2020-07-01,38439.08325
2020-08-01,38500.569
2020-09-01,38681.3125
2020-10-01,42654.985
2020-11-01,42729.39175
2020-12-01,42947.15225
2021-01-01,45638.9365
2021-02-01,41754.17425
2021-03-01,44926.726
2021-04-01,41050.2605
2021-05-01,40239.8975
2021-06-01,39490.3545
2021-07-01,40617.24075
2021-08-01,39410.4165
2021-09-01,39508.07875
2021-10-01,43168.2045
2021-11-01,43903.951
2021-12-01,44892.64375
2022-01-01,46299.5775
2022-02-01,42317.58725
2022-03-01,43975.77675
2022-04-01,40103.15275
2022-05-01,39887.427
2022-06-01,37366.3735
2022-07-01,38344.49025
2022-08-01,37455.949
2022-09-01,37356.6485
2022-10-01,38497.67875
2022-11-01,39782.553
2022-12-01,40903.165
2023-01-01,42165.8235
2023-02-01,38135.8315
2023-03-01,40916.522
2023-04-01,36141.731
2023-05-01,36335.3965
2023-06-01,35469.63075
2023-07-01,36255.32475
2023-08-01,36311.89625
2023-09-01,35798.50675
2023-10-01,38765.891
2023-11-01,41100.45775
2023-12-01,40986.54475
2024-01-01,44108.598
2024-02-01,39953.2525
2024-03-01,40215.23575
2024-04-01,37735.92675
2024-05-01,35985.886
2024-06-01,35704.9255
2024-07-01,36980.536
2024-08-01,36910.11875
2024-09-01,36661.879030000004
2024-10-01,38490.2225
2024-11-01,41379.5955
2024-12-01,40221.1015
