Mois,DJU
2019-01-01,520.4
2019-02-01,386.2
2019-03-01,341.2
2019-04-01,219.1
2019-05-01,163.3
2019-06-01,0.0
2019-07-01,15.299999999999999
2019-08-01,1.3999999999999986
2019-09-01,83.60000000000001
2019-10-01,201.4
2019-11-01,346.4
2019-12-01,425.9
2020-01-01,426.7
2020-02-01,350.7
2020-03-01,395.5
2020-04-01,223.1
2020-05-01,164.9
2020-06-01,17.4
2020-07-01,18.9
2020-08-01,4.100000000000001
2020-09-01,74.6
2020-10-01,202.6
2020-11-01,325.6
2020-12-01,453.1
2021-01-01,534.6
2021-02-01,500.4
2021-03-01,408.7
2021-04-01,341.7
2021-05-01,187.1
2021-06-01,5.4
2021-07-01,3.5
2021-08-01,28.5
2021-09-01,62.900000000000006
2021-10-01,227.1
2021-11-01,361.0
2021-12-01,503.1
2022-01-01,457.0
2022-02-01,369.6
2022-03-01,415.5
2022-04-01,291.8
2022-05-01,84.2
2022-06-01,15.2
2022-07-01,11.800000000000008
2022-08-01,3.0
2022-09-01,126.2
2022-10-01,157.4
2022-11-01,366.3
2022-12-01,505.4
2023-01-01,428.7
2023-02-01,420.3
2023-03-01,383.6
2023-04-01,305.6
2023-05-01,128.7
2023-06-01,13.999999999999998
2023-07-01,4.600000000000005
2023-08-01,20.200000000000003
2023-09-01,19.299999999999997
2023-10-01,180.0
2023-11-01,372.0
2023-12-01,440.9
2024-01-01,518.8
2024-02-01,327.9
2024-03-01,322.1
2024-04-01,211.8
2024-05-01,49.0
2024-06-01,37.5
2024-07-01,9.9
2024-08-01,0.0
2024-09-01,64.1
2024-10-01,199.7
2024-11-01,378.1
2024-12-01,442.4
