Mois,Consommation,DJU
2015-01-01,375.86675,499.8
2015-02-01,347.12025,469.9
2015-03-01,367.572,390.7
2015-04-01,336.2635,267.8
2015-05-01,334.75025,175.4
2015-06-01,340.08675,63.800000000000004
2015-07-01,362.0295,27.4
2015-08-01,336.91125,17.0
2015-09-01,350.263,151.2
2015-10-01,382.136,265.3
2015-11-01,359.537,303.59999999999997
2015-12-01,353.24725,338.3
2016-01-01,372.7285,481.2
2016-02-01,350.12575,418.0
2016-03-01,374.94525,429.1
2016-04-01,348.6565,307.5
2016-05-01,347.02025,158.4
2016-06-01,343.84475,67.5
2016-07-01,355.192,29.6
2016-08-01,336.5685,26.200000000000003
2016-09-01,360.02475,46.7
2016-10-01,377.916,269.8
2016-11-01,369.933,381.1
2016-12-01,379.72075,501.0
2017-01-01,411.928,608.0
2017-02-01,358.12875,395.7
2017-03-01,376.339,322.6
2017-04-01,336.148,312.9
2017-05-01,353.1375,129.9
2017-06-01,338.2875,33.099999999999994
2017-07-01,348.16625,30.699999999999996
2017-08-01,335.1185,36.8
2017-09-01,349.422,159.7
2017-10-01,379.173,212.6
2017-11-01,361.9985,389.3
2017-12-01,358.21675,469.5
2018-01-01,351.32725,413.6
2018-02-01,368.69875,544.9
2018-03-01,362.57575,448.1
2018-04-01,306.6985,196.0
2018-05-01,326.9845,102.3
2018-06-01,331.13075,44.0
2018-07-01,350.15,4.200000000000001
2018-08-01,315.61525,26.099999999999998
2018-09-01,338.358,93.7
2018-10-01,317.79275,203.4
2018-11-01,225.6995,364.9
2018-12-01,285.8945,445.8
2019-01-01,472.1035,533.1
2019-02-01,421.99875,392.1
2019-03-01,451.8235,360.1
2019-04-01,414.19,275.6
2019-05-01,419.51875,224.7
2019-06-01,409.73625,40.0
2019-07-01,426.238,20.9
2019-08-01,393.029,21.599999999999998
2019-09-01,408.1945,104.6
2019-10-01,441.78925,210.79999999999998
2019-11-01,446.58075,392.5
2019-12-01,449.95475,433.3
2020-01-01,465.1895,445.2
2020-02-01,440.132,367.3
2020-03-01,423.1065,384.0
2020-04-01,350.166,198.3
2020-05-01,378.39075,165.0
2020-06-01,385.79175,67.79999999999998
2020-07-01,402.16,27.6
2020-08-01,390.62575,18.2
2020-09-01,399.9825,75.5
2020-10-01,437.04575,245.0
2020-11-01,430.41625,341.9
2020-12-01,438.13325,441.7
2021-01-01,462.6985,522.3
2021-02-01,418.5055,397.7
2021-03-01,454.56925,402.6
2021-04-01,422.52325,355.8
2021-05-01,418.4785,245.9
2021-06-01,414.211,27.599999999999998
2021-07-01,415.839,32.7
2021-08-01,389.7745,64.9
2021-09-01,406.139,79.7
2021-10-01,438.574,251.0
2021-11-01,448.3165,409.1
2021-12-01,451.32625,437.3
2022-01-01,471.52925,493.4
2022-02-01,424.27725,380.6
2022-03-01,454.78825,374.9
2022-04-01,409.74975,291.5
2022-05-01,412.02475,107.5
2022-06-01,402.71575,35.5
2022-07-01,408.97625,9.800000000000002
2022-08-01,386.20175,1.1000000000000014
2022-09-01,390.566,137.8
2022-10-01,411.47575,159.5
2022-11-01,402.2605,318.8
2022-12-01,424.42775,468.6
2023-01-01,433.08025,447.9
2023-02-01,393.58775,407.2
2023-03-01,425.959,370.5
2023-04-01,380.9645,312.4
2023-05-01,368.2705,147.2
2023-06-01,369.656,6.599999999999998
2023-07-01,375.53025,21.599999999999998
2023-08-01,354.47775,47.8
2023-09-01,367.22225,46.7
2023-10-01,396.707,181.9
2023-11-01,415.35225,353.4
2023-12-01,416.1865,411.6
2024-01-01,450.43525,510.8
2024-02-01,406.54875,333.2
2024-03-01,416.8935,320.9
2024-04-01,392.89475,267.2
2024-05-01,384.21,139.5
2024-06-01,374.16325,87.10000000000001
2024-07-01,402.9615,34.699999999999996
2024-08-01,373.518,12.9
2024-09-01,392.9175,110.3
2024-10-01,429.4125,199.5
2024-11-01,431.9955,363.7
2024-12-01,426.40904,473.2
