Mois,Consommation
2015-01-01,375.86675
2015-02-01,347.12025
2015-03-01,367.572
2015-04-01,336.2635
2015-05-01,334.75025
2015-06-01,340.08675
2015-07-01,362.0295
2015-08-01,336.91125
2015-09-01,350.263
2015-10-01,382.136
2015-11-01,359.537
2015-12-01,353.24725
2016-01-01,372.7285
2016-02-01,350.12575
2016-03-01,374.94525
2016-04-01,348.6565
2016-05-01,347.02025
2016-06-01,343.84475
2016-07-01,355.192
2016-08-01,336.5685
2016-09-01,360.02475
2016-10-01,377.916
2016-11-01,369.933
2016-12-01,379.72075
2017-01-01,411.928
2017-02-01,358.12875
2017-03-01,376.339
2017-04-01,336.148
2017-05-01,353.1375
2017-06-01,338.2875
2017-07-01,348.16625
2017-08-01,335.1185
2017-09-01,349.422
2017-10-01,379.173
2017-11-01,361.9985
2017-12-01,358.21675
2018-01-01,351.32725
2018-02-01,368.69875
2018-03-01,362.57575
2018-04-01,306.6985
2018-05-01,326.9845
2018-06-01,331.13075
2018-07-01,350.15
2018-08-01,315.61525
2018-09-01,338.358
2018-10-01,317.79275
2018-11-01,225.6995
2018-12-01,285.8945
2019-01-01,472.1035
2019-02-01,421.99875
2019-03-01,451.8235
2019-04-01,414.19
2019-05-01,419.51875
2019-06-01,409.73625
2019-07-01,426.238
2019-08-01,393.029
2019-09-01,408.1945
2019-10-01,441.78925
2019-11-01,446.58075
2019-12-01,449.95475
2020-01-01,465.1895
2020-02-01,440.132
2020-03-01,423.1065
2020-04-01,350.166
2020-05-01,378.39075
2020-06-01,385.79175
2020-07-01,402.16
2020-08-01,390.62575
2020-09-01,399.9825
2020-10-01,437.04575
2020-11-01,430.41625
2020-12-01,438.13325
2021-01-01,462.6985
2021-02-01,418.5055
2021-03-01,454.56925
2021-04-01,422.52325
2021-05-01,418.4785
2021-06-01,414.211
2021-07-01,415.839
2021-08-01,389.7745
2021-09-01,406.139
2021-10-01,438.574
2021-11-01,448.3165
2021-12-01,451.32625
2022-01-01,471.52925
2022-02-01,424.27725
2022-03-01,454.78825
2022-04-01,409.74975
2022-05-01,412.02475
2022-06-01,402.71575
2022-07-01,408.97625
2022-08-01,386.20175
2022-09-01,390.566
2022-10-01,411.47575
2022-11-01,402.2605
2022-12-01,424.42775
2023-01-01,433.08025
2023-02-01,393.58775
2023-03-01,425.959
2023-04-01,380.9645
2023-05-01,368.2705
2023-06-01,369.656
2023-07-01,375.53025
2023-08-01,354.47775
2023-09-01,367.22225
2023-10-01,396.707
2023-11-01,415.35225
2023-12-01,416.1865
2024-01-01,450.43525
2024-02-01,406.54875
2024-03-01,416.8935
2024-04-01,392.89475
2024-05-01,384.21
2024-06-01,374.16325
2024-07-01,402.9615
2024-08-01,373.518
2024-09-01,392.9175
2024-10-01,429.4125
2024-11-01,431.9955
2024-12-01,426.40904
