Mois,DJU
2015-01-01,499.8
2015-02-01,469.9
2015-03-01,390.7
2015-04-01,267.8
2015-05-01,175.4
2015-06-01,63.800000000000004
2015-07-01,27.4
2015-08-01,17.0
2015-09-01,151.2
2015-10-01,265.3
2015-11-01,303.59999999999997
2015-12-01,338.3
2016-01-01,481.2
2016-02-01,418.0
2016-03-01,429.1
2016-04-01,307.5
2016-05-01,158.4
2016-06-01,67.5
2016-07-01,29.6
2016-08-01,26.200000000000003
2016-09-01,46.7
2016-10-01,269.8
2016-11-01,381.1
2016-12-01,501.0
2017-01-01,608.0
2017-02-01,395.7
2017-03-01,322.6
2017-04-01,312.9
2017-05-01,129.9
2017-06-01,33.099999999999994
2017-07-01,30.699999999999996
2017-08-01,36.8
2017-09-01,159.7
2017-10-01,212.6
2017-11-01,389.3
2017-12-01,469.5
2018-01-01,413.6
2018-02-01,544.9
2018-03-01,448.1
2018-04-01,196.0
2018-05-01,102.3
2018-06-01,44.0
2018-07-01,4.200000000000001
2018-08-01,26.099999999999998
2018-09-01,93.7
2018-10-01,203.4
2018-11-01,364.9
2018-12-01,445.8
2019-01-01,533.1
2019-02-01,392.1
2019-03-01,360.1
2019-04-01,275.6
2019-05-01,224.7
2019-06-01,40.0
2019-07-01,20.9
2019-08-01,21.599999999999998
2019-09-01,104.6
2019-10-01,210.79999999999998
2019-11-01,392.5
2019-12-01,433.3
2020-01-01,445.2
2020-02-01,367.3
2020-03-01,384.0
2020-04-01,198.3
2020-05-01,165.0
2020-06-01,67.79999999999998
2020-07-01,27.6
2020-08-01,18.2
2020-09-01,75.5
2020-10-01,245.0
2020-11-01,341.9
2020-12-01,441.7
2021-01-01,522.3
2021-02-01,397.7
2021-03-01,402.6
2021-04-01,355.8
2021-05-01,245.9
2021-06-01,27.599999999999998
2021-07-01,32.7
2021-08-01,64.9
2021-09-01,79.7
2021-10-01,251.0
2021-11-01,409.1
2021-12-01,437.3
2022-01-01,493.4
2022-02-01,380.6
2022-03-01,374.9
2022-04-01,291.5
2022-05-01,107.5
2022-06-01,35.5
2022-07-01,9.800000000000002
2022-08-01,1.1000000000000014
2022-09-01,137.8
2022-10-01,159.5
2022-11-01,318.8
2022-12-01,468.6
2023-01-01,447.9
2023-02-01,407.2
2023-03-01,370.5
2023-04-01,312.4
2023-05-01,147.2
2023-06-01,6.599999999999998
2023-07-01,21.599999999999998
2023-08-01,47.8
2023-09-01,46.7
2023-10-01,181.9
2023-11-01,353.4
2023-12-01,411.6
2024-01-01,510.8
2024-02-01,333.2
2024-03-01,320.9
2024-04-01,267.2
2024-05-01,139.5
2024-06-01,87.10000000000001
2024-07-01,34.699999999999996
2024-08-01,12.9
2024-09-01,110.3
2024-10-01,199.5
2024-11-01,363.7
2024-12-01,473.2
