Mois,Consommation,DJU
2015-01-01,28251.3255,413.5
2015-02-01,25876.0375,395.3
2015-03-01,26244.2115,356.9
2015-04-01,22352.3705,259.9
2015-05-01,21700.616,189.3
2015-06-01,20662.3305,79.80000000000001
2015-07-01,21152.733,35.60000000000001
2015-08-01,20950.7155,37.8
2015-09-01,21598.274,136.1
2015-10-01,24186.146,199.6
2015-11-01,24636.564,238.1
2015-12-01,24665.1355,228.0
2016-01-01,26800.7495,382.7
2016-02-01,25015.0205,373.2
2016-03-01,25551.41,380.0
2016-04-01,22536.1,303.8
2016-05-01,20739.3705,154.0
2016-06-01,20337.8595,74.2
2016-07-01,20107.7445,28.000000000000004
2016-08-01,19884.195,16.599999999999998
2016-09-01,20331.352,38.1
2016-10-01,22954.578,206.4
2016-11-01,25546.2385,341.6
2016-12-01,25796.058,361.7
2017-01-01,27565.505,468.6
2017-02-01,23565.9035,321.1
2017-03-01,23842.6705,273.5
2017-04-01,20487.545,250.2
2017-05-01,20537.3975,130.8
2017-06-01,19020.2215,41.1
2017-07-01,19533.7865,25.7
2017-08-01,19446.5075,49.5
2017-09-01,20143.9505,114.9
2017-10-01,21739.7615,152.3
2017-11-01,24301.5985,324.3
2017-12-01,25883.497,398.0
2018-01-01,26317.4935,374.7
2018-02-01,24143.014,425.8
2018-03-01,25807.471,390.1
2018-04-01,21472.971,218.8
2018-05-01,19723.1005,126.4
2018-06-01,18725.717,41.50000000000001
2018-07-01,19734.046,0.3000000000000007
2018-08-01,19501.7555,34.800000000000004
2018-09-01,19333.296,104.89999999999999
2018-10-01,21992.8225,204.0
2018-11-01,23697.537,286.7
2018-12-01,24512.452,337.2
2019-01-01,26366.2825,446.0
2019-02-01,22254.6855,318.3
2019-03-01,22720.197,294.3
2019-04-01,20541.4555,262.3
2019-05-01,19888.7685,180.8
2019-06-01,18463.504,79.8
2019-07-01,19152.3905,14.1
2019-08-01,18391.772,21.899999999999995
2019-09-01,18774.095,77.9
2019-10-01,22170.0865,211.9
2019-11-01,24258.691,333.3
2019-12-01,24191.0015,361.59999999999997
2020-01-01,24407.41,351.1
2020-02-01,22209.0425,316.5
2020-03-01,22040.1125,345.4
2020-04-01,16579.8585,211.3
2020-05-01,16078.4985,134.8
2020-06-01,16325.988,71.3
2020-07-01,17372.4215,33.5
2020-08-01,18076.0765,25.9
2020-09-01,18379.286,83.60000000000001
2020-10-01,21424.1975,210.4
2020-11-01,21668.772,261.9
2020-12-01,23981.275,381.1
2021-01-01,25130.445,446.4
2021-02-01,21396.2155,355.8
2021-03-01,21957.4375,338.4
2021-04-01,19832.3925,341.8
2021-05-01,19655.379,221.1
2021-06-01,17994.9365,47.099999999999994
2021-07-01,18643.614,23.599999999999994
2021-08-01,18398.746,45.8
2021-09-01,18723.09,54.599999999999994
2021-10-01,20301.762,171.20000000000002
2021-11-01,22449.441,311.8
2021-12-01,23821.3215,336.3
2022-01-01,24375.3745,423.8
2022-02-01,20443.7525,296.9
2022-03-01,21742.6695,310.2
2022-04-01,18699.8075,246.6
2022-05-01,17741.222,129.6
2022-06-01,16454.701,58.599999999999994
2022-07-01,17322.1855,9.799999999999999
2022-08-01,17359.676,2.3000000000000007
2022-09-01,17354.0855,92.9
2022-10-01,18401.6965,133.1
2022-11-01,20150.2935,246.6
2022-12-01,23165.7875,426.3
2023-01-01,22846.019,401.8
2023-02-01,19873.62,336.7
2023-03-01,21591.077,327.8
2023-04-01,18375.361,276.8
2023-05-01,17070.5315,166.1
2023-06-01,16139.256,34.400000000000006
2023-07-01,16246.5595,30.700000000000003
2023-08-01,16568.5015,34.7
2023-09-01,17139.4335,29.6
2023-10-01,19012.887,149.3
2023-11-01,21373.3915,309.9
2023-12-01,21976.6505,320.7
2024-01-01,23665.774,403.3
2024-02-01,20550.153,277.0
2024-03-01,20731.3645,295.8
2024-04-01,18151.8905,238.0
2024-05-01,17201.905,123.2
2024-06-01,15914.214,85.4
2024-07-01,16980.3035,36.1
2024-08-01,16144.2135,14.999999999999998
2024-09-01,17501.482,95.0
2024-10-01,19888.542,182.3
2024-11-01,22018.652,293.9
2024-12-01,22154.432,321.4
