Mois,Consommation
2015-01-01,28251.3255
2015-02-01,25876.0375
2015-03-01,26244.2115
2015-04-01,22352.3705
2015-05-01,21700.616
2015-06-01,20662.3305
2015-07-01,21152.733
2015-08-01,20950.7155
2015-09-01,21598.274
2015-10-01,24186.146
2015-11-01,24636.564
2015-12-01,24665.1355
2016-01-01,26800.7495
2016-02-01,25015.0205
2016-03-01,25551.41
2016-04-01,22536.1
2016-05-01,20739.3705
2016-06-01,20337.8595
2016-07-01,20107.7445
2016-08-01,19884.195
2016-09-01,20331.352
2016-10-01,22954.578
2016-11-01,25546.2385
2016-12-01,25796.058
2017-01-01,27565.505
2017-02-01,23565.9035
2017-03-01,23842.6705
2017-04-01,20487.545
2017-05-01,20537.3975
2017-06-01,19020.2215
2017-07-01,19533.7865
2017-08-01,19446.5075
2017-09-01,20143.9505
2017-10-01,21739.7615
2017-11-01,24301.5985
2017-12-01,25883.497
2018-01-01,26317.4935
2018-02-01,24143.014
2018-03-01,25807.471
2018-04-01,21472.971
2018-05-01,19723.1005
2018-06-01,18725.717
2018-07-01,19734.046
2018-08-01,19501.7555
2018-09-01,19333.296
2018-10-01,21992.8225
2018-11-01,23697.537
2018-12-01,24512.452
2019-01-01,26366.2825
2019-02-01,22254.6855
2019-03-01,22720.197
2019-04-01,20541.4555
2019-05-01,19888.7685
2019-06-01,18463.504
2019-07-01,19152.3905
2019-08-01,18391.772
2019-09-01,18774.095
2019-10-01,22170.0865
2019-11-01,24258.691
2019-12-01,24191.0015
2020-01-01,24407.41
2020-02-01,22209.0425
2020-03-01,22040.1125
2020-04-01,16579.8585
2020-05-01,16078.4985
2020-06-01,16325.988
2020-07-01,17372.4215
2020-08-01,18076.0765
2020-09-01,18379.286
2020-10-01,21424.1975
2020-11-01,21668.772
2020-12-01,23981.275
2021-01-01,25130.445
2021-02-01,21396.2155
2021-03-01,21957.4375
2021-04-01,19832.3925
2021-05-01,19655.379
2021-06-01,17994.9365
2021-07-01,18643.614
2021-08-01,18398.746
2021-09-01,18723.09
2021-10-01,20301.762
2021-11-01,22449.441
2021-12-01,23821.3215
2022-01-01,24375.3745
2022-02-01,20443.7525
2022-03-01,21742.6695
2022-04-01,18699.8075
2022-05-01,17741.222
2022-06-01,16454.701
2022-07-01,17322.1855
2022-08-01,17359.676
2022-09-01,17354.0855
2022-10-01,18401.6965
2022-11-01,20150.2935
2022-12-01,23165.7875
2023-01-01,22846.019
2023-02-01,19873.62
2023-03-01,21591.077
2023-04-01,18375.361
2023-05-01,17070.5315
2023-06-01,16139.256
2023-07-01,16246.5595
2023-08-01,16568.5015
2023-09-01,17139.4335
2023-10-01,19012.887
2023-11-01,21373.3915
2023-12-01,21976.6505
2024-01-01,23665.774
2024-02-01,20550.153
2024-03-01,20731.3645
2024-04-01,18151.8905
2024-05-01,17201.905
2024-06-01,15914.214
2024-07-01,16980.3035
2024-08-01,16144.2135
2024-09-01,17501.482
2024-10-01,19888.542
2024-11-01,22018.652
2024-12-01,22154.432
