Mois,DJU
2015-01-01,413.5
2015-02-01,395.3
2015-03-01,356.9
2015-04-01,259.9
2015-05-01,189.3
2015-06-01,79.80000000000001
2015-07-01,35.60000000000001
2015-08-01,37.8
2015-09-01,136.1
2015-10-01,199.6
2015-11-01,238.1
2015-12-01,228.0
2016-01-01,382.7
2016-02-01,373.2
2016-03-01,380.0
2016-04-01,303.8
2016-05-01,154.0
2016-06-01,74.2
2016-07-01,28.000000000000004
2016-08-01,16.599999999999998
2016-09-01,38.1
2016-10-01,206.4
2016-11-01,341.6
2016-12-01,361.7
2017-01-01,468.6
2017-02-01,321.1
2017-03-01,273.5
2017-04-01,250.2
2017-05-01,130.8
2017-06-01,41.1
2017-07-01,25.7
2017-08-01,49.5
2017-09-01,114.9
2017-10-01,152.3
2017-11-01,324.3
2017-12-01,398.0
2018-01-01,374.7
2018-02-01,425.8
2018-03-01,390.1
2018-04-01,218.8
2018-05-01,126.4
2018-06-01,41.50000000000001
2018-07-01,0.3000000000000007
2018-08-01,34.800000000000004
2018-09-01,104.89999999999999
2018-10-01,204.0
2018-11-01,286.7
2018-12-01,337.2
2019-01-01,446.0
2019-02-01,318.3
2019-03-01,294.3
2019-04-01,262.3
2019-05-01,180.8
2019-06-01,79.8
2019-07-01,14.1
2019-08-01,21.899999999999995
2019-09-01,77.9
2019-10-01,211.9
2019-11-01,333.3
2019-12-01,361.59999999999997
2020-01-01,351.1
2020-02-01,316.5
2020-03-01,345.4
2020-04-01,211.3
2020-05-01,134.8
2020-06-01,71.3
2020-07-01,33.5
2020-08-01,25.9
2020-09-01,83.60000000000001
2020-10-01,210.4
2020-11-01,261.9
2020-12-01,381.1
2021-01-01,446.4
2021-02-01,355.8
2021-03-01,338.4
2021-04-01,341.8
2021-05-01,221.1
2021-06-01,47.099999999999994
2021-07-01,23.599999999999994
2021-08-01,45.8
2021-09-01,54.599999999999994
2021-10-01,171.20000000000002
2021-11-01,311.8
2021-12-01,336.3
2022-01-01,423.8
2022-02-01,296.9
2022-03-01,310.2
2022-04-01,246.6
2022-05-01,129.6
2022-06-01,58.599999999999994
2022-07-01,9.799999999999999
2022-08-01,2.3000000000000007
2022-09-01,92.9
2022-10-01,133.1
2022-11-01,246.6
2022-12-01,426.3
2023-01-01,401.8
2023-02-01,336.7
2023-03-01,327.8
2023-04-01,276.8
2023-05-01,166.1
2023-06-01,34.400000000000006
2023-07-01,30.700000000000003
2023-08-01,34.7
2023-09-01,29.6
2023-10-01,149.3
2023-11-01,309.9
2023-12-01,320.7
2024-01-01,403.3
2024-02-01,277.0
2024-03-01,295.8
2024-04-01,238.0
2024-05-01,123.2
2024-06-01,85.4
2024-07-01,36.1
2024-08-01,14.999999999999998
2024-09-01,95.0
2024-10-01,182.3
2024-11-01,293.9
2024-12-01,321.4
