Mois,Consommation,DJU
2015-01-01,329666.32027,560.8
2015-02-01,306768.44011,593.9
2015-03-01,305351.76924,426.7
2015-04-01,275475.12077,155.0
2015-05-01,288090.69944,18.4
2015-06-01,326396.89785,6.599999999999998
2015-07-01,362938.0669,0.0
2015-08-01,362031.76805,0.0
2015-09-01,332957.87525,0.0
2015-10-01,296055.34617,125.5
2015-11-01,275916.52883,207.2
2015-12-01,297343.55649,254.0
2016-01-01,320890.16476,546.7
2016-02-01,296805.76317,429.8
2016-03-01,285812.35897,241.2
2016-04-01,269531.2373,169.0
2016-05-01,284707.64149,88.0
2016-06-01,329877.90515,0.0
2016-07-01,372172.26806,0.0
2016-08-01,381192.32814,0.0
2016-09-01,336752.08609,0.3999999999999986
2016-10-01,296680.67052,82.89999999999999
2016-11-01,277316.98036,251.9
2016-12-01,310722.22579,435.9
2017-01-01,318177.17905,434.1
2017-02-01,275777.13545,304.8
2017-03-01,291443.63704,353.0
2017-04-01,272801.15774,91.6
2017-05-01,291870.53765,61.9
2017-06-01,328582.61458,1.0999999999999979
2017-07-01,367613.0216,0.0
2017-08-01,360262.61916,0.0
2017-09-01,321725.81017,8.0
2017-10-01,299539.47902,70.3
2017-11-01,283347.00055,290.7
2017-12-01,312215.78198,480.40000000000003
2018-01-01,344477.68735,545.3
2018-02-01,292732.28568,336.6
2018-03-01,296999.30431,427.9
2018-04-01,278467.98771,224.79999999999998
2018-05-01,303248.00751,5.499999999999998
2018-06-01,338082.98543,1.8000000000000007
2018-07-01,375023.42713,0.0
2018-08-01,381130.62934,0.0
2018-09-01,337262.54868,2.3999999999999986
2018-10-01,309113.58697,132.0
2018-11-01,290507.09977,338.3
2018-12-01,312139.71096,422.4
2019-01-01,328609.25104,521.9
2019-02-01,295797.69323,411.4
2019-03-01,301852.69315,372.2
2019-04-01,273899.83766,116.1
2019-05-01,296801.73615,25.6
2019-06-01,321461.60493,0.0
2019-07-01,376094.82072,0.0
2019-08-01,372574.08721,0.0
2019-09-01,340462.80117,0.0
2019-10-01,308241.20549,76.7
2019-11-01,285532.04149,342.8
2019-12-01,309822.6908,429.0
2020-01-01,315532.78974,420.7
2020-02-01,294659.40487,368.8
2020-03-01,289893.78032,249.6
2020-04-01,262400.56179,200.6
2020-05-01,274707.0812,90.8
2020-06-01,320055.72389,0.8999999999999986
2020-07-01,379530.04105,0.0
2020-08-01,368884.50417,0.0
2020-09-01,322554.51332,24.6
2020-10-01,296876.57754,87.7
2020-11-01,277249.20095,215.4
2020-12-01,315330.30203,440.6
2021-01-01,321496.47552,497.4
2021-02-01,299698.03448,454.3
2021-03-01,295345.00171,289.9
2021-04-01,272778.6964,159.20000000000002
2021-05-01,290060.60198,64.3
2021-06-01,338415.38015,0.0
2021-07-01,373948.29907,0.0
2021-08-01,381039.30375,0.0
2021-09-01,336444.01047,2.099999999999998
2021-10-01,302127.47063,45.400000000000006
2021-11-01,287133.80021,316.4
2021-12-01,307387.1788,338.4
2022-01-01,338656.04633,558.4
2022-02-01,305863.07052,382.5
2022-03-01,304300.02693,285.9
2022-04-01,284932.86674,181.1
2022-05-01,309696.95397,43.20000000000001
2022-06-01,347106.33234,0.0
2022-07-01,389214.17473,0.0
2022-08-01,389626.2823,0.0
2022-09-01,340543.84071,13.0
2022-10-01,297195.94414,154.5
2022-11-01,292257.74617,253.1
2022-12-01,327775.78446,470.2
2023-01-01,325414.64493,372.0
2023-02-01,292945.66208,315.7
2023-03-01,306453.94244,325.6
2023-04-01,280811.14791,99.8
2023-05-01,298705.56959,52.6
2023-06-01,328798.08365,0.8000000000000007
2023-07-01,387256.1072,0.0
2023-08-01,392436.03404,0.0
2023-09-01,346476.44135,8.299999999999997
2023-10-01,308065.40868,95.5
2023-11-01,294248.48557,299.3
2023-12-01,312641.83476,368.7
2024-01-01,343716.52172,469.3
2024-02-01,303258.34281,378.9
2024-03-01,297278.27618,277.7
2024-04-01,286256.79709,129.7
2024-05-01,313961.45312,27.900000000000002
2024-06-01,355881.96752,0.0
2024-07-01,397872.58566,0.0
2024-08-01,394199.46181,0.0
2024-09-01,343070.70554,2.5
2024-10-01,315901.9817,104.1
2024-11-01,295796.04266,221.8
2024-12-01,328187.69582,439.7
