Mois,Consommation
2015-01-01,329666.32027
2015-02-01,306768.44011
2015-03-01,305351.76924
2015-04-01,275475.12077
2015-05-01,288090.69944
2015-06-01,326396.89785
2015-07-01,362938.0669
2015-08-01,362031.76805
2015-09-01,332957.87525
2015-10-01,296055.34617
2015-11-01,275916.52883
2015-12-01,297343.55649
2016-01-01,320890.16476
2016-02-01,296805.76317
2016-03-01,285812.35897
2016-04-01,269531.2373
2016-05-01,284707.64149
2016-06-01,329877.90515
2016-07-01,372172.26806
2016-08-01,381192.32814
2016-09-01,336752.08609
2016-10-01,296680.67052
2016-11-01,277316.98036
2016-12-01,310722.22579
2017-01-01,318177.17905
2017-02-01,275777.13545
2017-03-01,291443.63704
2017-04-01,272801.15774
2017-05-01,291870.53765
2017-06-01,328582.61458
2017-07-01,367613.0216
2017-08-01,360262.61916
2017-09-01,321725.81017
2017-10-01,299539.47902
2017-11-01,283347.00055
2017-12-01,312215.78198
2018-01-01,344477.68735
2018-02-01,292732.28568
2018-03-01,296999.30431
2018-04-01,278467.98771
2018-05-01,303248.00751
2018-06-01,338082.98543
2018-07-01,375023.42713
2018-08-01,381130.62934
2018-09-01,337262.54868
2018-10-01,309113.58697
2018-11-01,290507.09977
2018-12-01,312139.71096
2019-01-01,328609.25104
2019-02-01,295797.69323
2019-03-01,301852.69315
2019-04-01,273899.83766
2019-05-01,296801.73615
2019-06-01,321461.60493
2019-07-01,376094.82072
2019-08-01,372574.08721
2019-09-01,340462.80117
2019-10-01,308241.20549
2019-11-01,285532.04149
2019-12-01,309822.6908
2020-01-01,315532.78974
2020-02-01,294659.40487
2020-03-01,289893.78032
2020-04-01,262400.56179
2020-05-01,274707.0812
2020-06-01,320055.72389
2020-07-01,379530.04105
2020-08-01,368884.50417
2020-09-01,322554.51332
2020-10-01,296876.57754
2020-11-01,277249.20095
2020-12-01,315330.30203
2021-01-01,321496.47552
2021-02-01,299698.03448
2021-03-01,295345.00171
2021-04-01,272778.6964
2021-05-01,290060.60198
2021-06-01,338415.38015
2021-07-01,373948.29907
2021-08-01,381039.30375
2021-09-01,336444.01047
2021-10-01,302127.47063
2021-11-01,287133.80021
2021-12-01,307387.1788
2022-01-01,338656.04633
2022-02-01,305863.07052
2022-03-01,304300.02693
2022-04-01,284932.86674
2022-05-01,309696.95397
2022-06-01,347106.33234
2022-07-01,389214.17473
2022-08-01,389626.2823
2022-09-01,340543.84071
2022-10-01,297195.94414
2022-11-01,292257.74617
2022-12-01,327775.78446
2023-01-01,325414.64493
2023-02-01,292945.66208
2023-03-01,306453.94244
2023-04-01,280811.14791
2023-05-01,298705.56959
2023-06-01,328798.08365
2023-07-01,387256.1072
2023-08-01,392436.03404
2023-09-01,346476.44135
2023-10-01,308065.40868
2023-11-01,294248.48557
2023-12-01,312641.83476
2024-01-01,343716.52172
2024-02-01,303258.34281
2024-03-01,297278.27618
2024-04-01,286256.79709
2024-05-01,313961.45312
2024-06-01,355881.96752
2024-07-01,397872.58566
2024-08-01,394199.46181
2024-09-01,343070.70554
2024-10-01,315901.9817
2024-11-01,295796.04266
2024-12-01,328187.69582
