Mois,DJU
2015-01-01,560.8
2015-02-01,593.9
2015-03-01,426.7
2015-04-01,155.0
2015-05-01,18.4
2015-06-01,6.599999999999998
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,125.5
2015-11-01,207.2
2015-12-01,254.0
2016-01-01,546.7
2016-02-01,429.8
2016-03-01,241.2
2016-04-01,169.0
2016-05-01,88.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.3999999999999986
2016-10-01,82.89999999999999
2016-11-01,251.9
2016-12-01,435.9
2017-01-01,434.1
2017-02-01,304.8
2017-03-01,353.0
2017-04-01,91.6
2017-05-01,61.9
2017-06-01,1.0999999999999979
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,8.0
2017-10-01,70.3
2017-11-01,290.7
2017-12-01,480.40000000000003
2018-01-01,545.3
2018-02-01,336.6
2018-03-01,427.9
2018-04-01,224.79999999999998
2018-05-01,5.499999999999998
2018-06-01,1.8000000000000007
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,2.3999999999999986
2018-10-01,132.0
2018-11-01,338.3
2018-12-01,422.4
2019-01-01,521.9
2019-02-01,411.4
2019-03-01,372.2
2019-04-01,116.1
2019-05-01,25.6
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,76.7
2019-11-01,342.8
2019-12-01,429.0
2020-01-01,420.7
2020-02-01,368.8
2020-03-01,249.6
2020-04-01,200.6
2020-05-01,90.8
2020-06-01,0.8999999999999986
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,24.6
2020-10-01,87.7
2020-11-01,215.4
2020-12-01,440.6
2021-01-01,497.4
2021-02-01,454.3
2021-03-01,289.9
2021-04-01,159.20000000000002
2021-05-01,64.3
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,2.099999999999998
2021-10-01,45.400000000000006
2021-11-01,316.4
2021-12-01,338.4
2022-01-01,558.4
2022-02-01,382.5
2022-03-01,285.9
2022-04-01,181.1
2022-05-01,43.20000000000001
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,13.0
2022-10-01,154.5
2022-11-01,253.1
2022-12-01,470.2
2023-01-01,372.0
2023-02-01,315.7
2023-03-01,325.6
2023-04-01,99.8
2023-05-01,52.6
2023-06-01,0.8000000000000007
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,8.299999999999997
2023-10-01,95.5
2023-11-01,299.3
2023-12-01,368.7
2024-01-01,469.3
2024-02-01,378.9
2024-03-01,277.7
2024-04-01,129.7
2024-05-01,27.900000000000002
2024-06-01,0.0
2024-07-01,0.0
2024-08-01,0.0
2024-09-01,2.5
2024-10-01,104.1
2024-11-01,221.8
2024-12-01,439.7
